,camis,name,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,inspection_type,address,zip_code,rating,price,cuisine
19,40362715,the country cafe,manhattan,60,wall street,10005,3474279132,Sandwiches/Salads/Mixed Buffet,2018-04-13,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,27.0,Cycle Inspection / Initial Inspection,60 wall st,10005,2.0,$,sandwiches
20,40362715,the country cafe,manhattan,60,wall street,10005,3474279132,Sandwiches/Salads/Mixed Buffet,2018-05-25,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5.0,Cycle Inspection / Re-inspection,60 wall st,10005,2.0,$,sandwiches
21,40362715,the country cafe,manhattan,60,wall street,10005,3474279132,Sandwiches/Salads/Mixed Buffet,2018-10-17,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,46.0,Cycle Inspection / Initial Inspection,60 wall st,10005,2.0,$,sandwiches
22,40362715,the country cafe,manhattan,60,wall street,10005,3474279132,Sandwiches/Salads/Mixed Buffet,2018-10-24,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11.0,Cycle Inspection / Reopening Inspection,60 wall st,10005,2.0,$,sandwiches
23,40362715,the country cafe,manhattan,60,wall street,10005,3474279132,Sandwiches/Salads/Mixed Buffet,2018-10-30,Establishment re-opened by DOHMH,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4.0,Cycle Inspection / Reopening Inspection,60 wall st,10005,2.0,$,sandwiches
24,40362715,the country cafe,manhattan,60,wall street,10005,3474279132,Sandwiches/Salads/Mixed Buffet,2019-01-04,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,Cycle Inspection / Re-inspection,60 wall st,10005,2.0,$,sandwiches
25,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2015-12-14,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,Cycle Inspection / Initial Inspection,56 court st,11201,2.0,$,donuts
26,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2015-12-14,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,Cycle Inspection / Initial Inspection,56 court st,11201,1.0,$,donuts
27,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2015-12-14,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,Cycle Inspection / Initial Inspection,56 court st,11201,2.0,$,donuts
28,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2015-12-14,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,Cycle Inspection / Initial Inspection,56 court st,11201,1.0,$,donuts
29,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2017-01-12,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,Cycle Inspection / Initial Inspection,56 court st,11201,2.0,$,donuts
30,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2017-01-12,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,Cycle Inspection / Initial Inspection,56 court st,11201,1.0,$,donuts
31,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2017-01-12,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,Cycle Inspection / Initial Inspection,56 court st,11201,2.0,$,donuts
32,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2017-01-12,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,Cycle Inspection / Initial Inspection,56 court st,11201,1.0,$,donuts
33,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2017-12-12,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,51.0,Cycle Inspection / Initial Inspection,56 court st,11201,2.0,$,donuts
34,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2017-12-12,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,51.0,Cycle Inspection / Initial Inspection,56 court st,11201,1.0,$,donuts
35,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2017-12-12,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,51.0,Cycle Inspection / Initial Inspection,56 court st,11201,2.0,$,donuts
36,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2017-12-12,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,51.0,Cycle Inspection / Initial Inspection,56 court st,11201,1.0,$,donuts
37,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-01-04,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16.0,Cycle Inspection / Re-inspection,56 court st,11201,2.0,$,donuts
38,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-01-04,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16.0,Cycle Inspection / Re-inspection,56 court st,11201,1.0,$,donuts
39,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-01-04,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16.0,Cycle Inspection / Re-inspection,56 court st,11201,2.0,$,donuts
40,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-01-04,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16.0,Cycle Inspection / Re-inspection,56 court st,11201,1.0,$,donuts
41,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-05-17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,14.0,Cycle Inspection / Initial Inspection,56 court st,11201,2.0,$,donuts
42,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-05-17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,14.0,Cycle Inspection / Initial Inspection,56 court st,11201,1.0,$,donuts
43,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-05-17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,14.0,Cycle Inspection / Initial Inspection,56 court st,11201,2.0,$,donuts
44,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-05-17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,14.0,Cycle Inspection / Initial Inspection,56 court st,11201,1.0,$,donuts
45,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-07-02,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,7.0,Cycle Inspection / Re-inspection,56 court st,11201,2.0,$,donuts
46,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-07-02,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,7.0,Cycle Inspection / Re-inspection,56 court st,11201,1.0,$,donuts
47,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-07-02,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,7.0,Cycle Inspection / Re-inspection,56 court st,11201,2.0,$,donuts
48,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-07-02,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,7.0,Cycle Inspection / Re-inspection,56 court st,11201,1.0,$,donuts
49,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-12-10,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12.0,Cycle Inspection / Initial Inspection,56 court st,11201,2.0,$,donuts
50,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-12-10,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12.0,Cycle Inspection / Initial Inspection,56 court st,11201,1.0,$,donuts
51,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-12-10,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12.0,Cycle Inspection / Initial Inspection,56 court st,11201,2.0,$,donuts
52,40363098,dunkin' donuts,brooklyn,56,court street,11201,7186252068,Donuts,2018-12-10,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12.0,Cycle Inspection / Initial Inspection,56 court st,11201,1.0,$,donuts
53,40364220,kosher bagel hole,brooklyn,1423,avenue j,11230,7182584150,Jewish/Kosher,2016-10-20,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,9.0,Cycle Inspection / Initial Inspection,1423 ave j,11230,4.0,$,bagels
54,40364220,kosher bagel hole,brooklyn,1423,avenue j,11230,7182584150,Jewish/Kosher,2017-12-13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,Cycle Inspection / Initial Inspection,1423 ave j,11230,4.0,$,bagels
55,40364220,kosher bagel hole,brooklyn,1423,avenue j,11230,7182584150,Jewish/Kosher,2018-11-28,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10.0,Cycle Inspection / Initial Inspection,1423 ave j,11230,4.0,$,bagels
56,40364296,happy garden,bronx,277,east kingsbridge road,10458,7182955588,Chinese,2016-02-17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,Cycle Inspection / Initial Inspection,277 e kingsbridge rd,10458,4.0,$,chinese
57,40364296,happy garden,bronx,277,east kingsbridge road,10458,7182955588,Chinese,2017-04-04,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,Cycle Inspection / Initial Inspection,277 e kingsbridge rd,10458,4.0,$,chinese
58,40364296,happy garden,bronx,277,east kingsbridge road,10458,7182955588,Chinese,2018-05-02,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12.0,Cycle Inspection / Initial Inspection,277 e kingsbridge rd,10458,4.0,$,chinese
59,40364572,donohue's steak house,manhattan,845,lexington avenue,10065,2127440938,Steak,2015-03-10,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,9.0,Cycle Inspection / Initial Inspection,845 lexington ave,10065,3.5,$$,steak
60,40364572,donohue's steak house,manhattan,845,lexington avenue,10065,2127440938,Steak,2016-03-22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,10.0,Cycle Inspection / Initial Inspection,845 lexington ave,10065,3.5,$$,steak
61,40364572,donohue's steak house,manhattan,845,lexington avenue,10065,2127440938,Steak,2017-06-08,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,27.0,Cycle Inspection / Initial Inspection,845 lexington ave,10065,3.5,$$,steak
62,40364572,donohue's steak house,manhattan,845,lexington avenue,10065,2127440938,Steak,2017-07-05,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,Cycle Inspection / Re-inspection,845 lexington ave,10065,3.5,$$,steak
63,40364572,donohue's steak house,manhattan,845,lexington avenue,10065,2127440938,Steak,2018-01-18,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13.0,Cycle Inspection / Initial Inspection,845 lexington ave,10065,3.5,$$,steak
64,40364920,rizzo's fine pizza,queens,3013,steinway street,11103,7187219862,Pizza,2016-09-23,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,11.0,Cycle Inspection / Initial Inspection,3013 steinway st,11103,4.0,$,pizza
65,40364920,rizzo's fine pizza,queens,3013,steinway street,11103,7187219862,Pizza,2016-11-03,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,Cycle Inspection / Re-inspection,3013 steinway st,11103,4.0,$,pizza
66,40364920,rizzo's fine pizza,queens,3013,steinway street,11103,7187219862,Pizza,2017-05-04,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,22.0,Cycle Inspection / Initial Inspection,3013 steinway st,11103,4.0,$,pizza
67,40364920,rizzo's fine pizza,queens,3013,steinway street,11103,7187219862,Pizza,2017-06-08,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,Cycle Inspection / Re-inspection,3013 steinway st,11103,4.0,$,pizza
68,40364920,rizzo's fine pizza,queens,3013,steinway street,11103,7187219862,Pizza,2018-01-30,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,Cycle Inspection / Initial Inspection,3013 steinway st,11103,4.0,$,pizza
69,40364920,rizzo's fine pizza,queens,3013,steinway street,11103,7187219862,Pizza,2019-01-02,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,26.0,Cycle Inspection / Initial Inspection,3013 steinway st,11103,4.0,$,pizza
70,40364920,rizzo's fine pizza,queens,3013,steinway street,11103,7187219862,Pizza,2019-01-26,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,Cycle Inspection / Re-inspection,3013 steinway st,11103,4.0,$,pizza
71,40365882,ny pizza suprema,manhattan,413,8 avenue,10001,2125948939,Pizza,2016-05-26,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,Cycle Inspection / Initial Inspection,413 8 ave,10001,4.0,$,pizza
72,40365882,ny pizza suprema,manhattan,413,8 avenue,10001,2125948939,Pizza,2017-07-17,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20.0,Cycle Inspection / Initial Inspection,413 8 ave,10001,4.0,$,pizza
73,40365882,ny pizza suprema,manhattan,413,8 avenue,10001,2125948939,Pizza,2017-08-08,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,Cycle Inspection / Re-inspection,413 8 ave,10001,4.0,$,pizza
74,40365882,ny pizza suprema,manhattan,413,8 avenue,10001,2125948939,Pizza,2018-02-28,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Critical,18.0,Cycle Inspection / Initial Inspection,413 8 ave,10001,4.0,$,pizza
75,40365882,ny pizza suprema,manhattan,413,8 avenue,10001,2125948939,Pizza,2018-07-20,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13.0,Cycle Inspection / Re-inspection,413 8 ave,10001,4.0,$,pizza
76,40365882,ny pizza suprema,manhattan,413,8 avenue,10001,2125948939,Pizza,2018-12-18,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12.0,Cycle Inspection / Initial Inspection,413 8 ave,10001,4.0,$,pizza
77,40366132,denino's pizzeria tavern,staten island,524,port richmond avenue,10302,7184429401,Pizza/Italian,2016-02-09,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,Cycle Inspection / Initial Inspection,524 port richmond ave,10302,4.0,$$,pizza
78,40366132,denino's pizzeria tavern,staten island,524,port richmond avenue,10302,7184429401,Pizza/Italian,2017-03-22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,27.0,Cycle Inspection / Initial Inspection,524 port richmond ave,10302,4.0,$$,pizza
79,40366132,denino's pizzeria tavern,staten island,524,port richmond avenue,10302,7184429401,Pizza/Italian,2017-05-01,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,10.0,Cycle Inspection / Re-inspection,524 port richmond ave,10302,4.0,$$,pizza
80,40366132,denino's pizzeria tavern,staten island,524,port richmond avenue,10302,7184429401,Pizza/Italian,2017-10-18,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,47.0,Cycle Inspection / Initial Inspection,524 port richmond ave,10302,4.0,$$,pizza
81,40366132,denino's pizzeria tavern,staten island,524,port richmond avenue,10302,7184429401,Pizza/Italian,2017-10-20,Establishment re-opened by DOHMH,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,Cycle Inspection / Reopening Inspection,524 port richmond ave,10302,4.0,$$,pizza
82,40366132,denino's pizzeria tavern,staten island,524,port richmond avenue,10302,7184429401,Pizza/Italian,2017-12-06,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9.0,Cycle Inspection / Re-inspection,524 port richmond ave,10302,4.0,$$,pizza
83,40366132,denino's pizzeria tavern,staten island,524,port richmond avenue,10302,7184429401,Pizza/Italian,2018-05-10,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,21.0,Cycle Inspection / Initial Inspection,524 port richmond ave,10302,4.0,$$,pizza
84,40366132,denino's pizzeria tavern,staten island,524,port richmond avenue,10302,7184429401,Pizza/Italian,2018-07-03,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,7.0,Cycle Inspection / Re-inspection,524 port richmond ave,10302,4.0,$$,pizza
85,40366487,brennan and carr,brooklyn,3432,nostrand avenue,11229,7187691254,American,2016-12-06,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,Cycle Inspection / Initial Inspection,3432 nostrand ave,11229,4.0,$,tradamerican
86,40366487,brennan and carr,brooklyn,3432,nostrand avenue,11229,7187691254,American,2018-01-18,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,9.0,Cycle Inspection / Initial Inspection,3432 nostrand ave,11229,4.0,$,tradamerican
87,40366487,brennan and carr,brooklyn,3432,nostrand avenue,11229,7187691254,American,2019-01-26,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,10.0,Cycle Inspection / Initial Inspection,3432 nostrand ave,11229,4.0,$,tradamerican
88,40366549,irish cottage,queens,10807,72 avenue,11375,7185208530,Irish,2016-05-04,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9.0,Cycle Inspection / Initial Inspection,10807 72 ave,11375,3.5,$$,irish
89,40366549,irish cottage,queens,10807,72 avenue,11375,7185208530,Irish,2017-05-15,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,20.0,Cycle Inspection / Initial Inspection,10807 72 ave,11375,3.5,$$,irish
90,40366549,irish cottage,queens,10807,72 avenue,11375,7185208530,Irish,2017-07-06,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,16.0,Cycle Inspection / Re-inspection,10807 72 ave,11375,3.5,$$,irish
91,40366549,irish cottage,queens,10807,72 avenue,11375,7185208530,Irish,2018-04-11,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13.0,Cycle Inspection / Initial Inspection,10807 72 ave,11375,3.5,$$,irish
